"subscription_length","vehicle_age","customer_age","region_density","airbags","displacement","cylinder","turning_radius","length","width","gross_weight","ncap_rating"
9.3,1.2,41,8794,6,1493,4,5.2,4300,1790,1720,3
8.2,1.8,35,27003,2,1498,4,4.9,3995,1695,1051,4
9.5,0.2,44,8794,6,1493,4,5.2,4300,1790,1720,3
5.2,0.4,44,73430,2,796,3,4.6,3445,1515,1185,0
10.1,1,56,5410,2,1497,4,5,3990,1755,1490,5
3.1,2,36,6112,6,1197,4,4.85,3990,1745,1410,0
4.5,2.4,38,27003,6,1493,4,5.2,4300,1790,1720,3
10.7,2,56,27003,2,1197,4,4.8,3845,1735,1335,2
10.7,0.6,55,34738,2,998,3,4.7,3655,1620,1340,2
0.3,2.4,45,4076,2,1197,4,4.8,3845,1735,1335,2
10.5,3,37,27742,2,1197,4,4.8,3845,1735,1335,2
5.3,1.2,39,8794,2,796,3,4.6,3445,1515,1185,0
10.2,1.6,41,27003,6,1493,4,5.2,4300,1790,1720,3
1.4,0,44,27003,2,796,3,4.6,3445,1515,1185,0
5.6,0.2,36,4076,2,796,3,4.6,3445,1515,1185,0
10.3,3.8,40,8794,2,1197,4,4.8,3845,1735,1335,2
8.8,0.4,40,17804,2,796,3,4.6,3445,1515,1185,0
0.7,0.6,62,73430,2,1498,4,4.9,3995,1695,1051,4
2.4,2.8,42,27003,2,1197,4,4.8,3845,1735,1335,2
9.7,1,43,290,2,999,3,5,3731,1579,1155,2
11.6,0.4,48,5410,6,1197,4,4.85,3990,1745,1410,0
5.3,0.8,45,34738,2,1197,4,4.8,3845,1735,1335,2
10.2,1,41,27003,6,1493,4,5.2,4300,1790,1720,3
0.9,1.4,36,27003,6,1493,4,5.2,4300,1790,1720,3
1.2,0.2,53,13051,2,796,3,4.6,3445,1515,1185,0
1.3,0,46,4076,2,796,3,4.6,3445,1515,1185,0
12.4,2,44,4076,2,1498,4,4.9,3995,1695,1051,4
6.8,1.4,51,27003,2,998,3,4.7,3655,1620,1340,2
0.7,0,37,4076,2,796,3,4.6,3445,1515,1185,0
10.9,2,41,73430,2,1197,4,4.8,3845,1735,1335,2
